timestamp,Basel Temperature [2 m elevation corrected]
20180117T0500,3.3305285
20180117T0600,3.1405284
20180117T0700,2.8305285
20180117T0800,2.9505286
20180117T0900,3.4105287
20180117T1000,3.6405284
20180117T1100,4.1705284
20180117T1200,3.2705286
20180117T1300,3.7405286
20180117T1400,3.8605285
20180117T1500,3.7205286
20180117T1600,3.0205286
20180117T1700,2.7605286
20180117T1800,2.8205285
20180117T1900,2.7205286
20180117T2000,2.2605286
20180117T2100,2.6805286
20180117T2200,2.8305285
20180117T2300,2.9405286
20180118T0000,2.9805286
20180118T0100,3.1905286
20180118T0200,3.4005284
20180118T0300,3.5305285
20180118T0400,3.6205285
20180118T0500,3.8505285
20180118T0600,4.2505283
20180118T0700,4.0605288
20180118T0800,5.1305285
20180118T0900,6.1705284
20180118T1000,6.9305286
20180118T1100,7.9805284
20180118T1200,8.910529
20180118T1300,9.380529
20180118T1400,9.540529
20180118T1500,9.490529
20180118T1600,8.770529
20180118T1700,8.710529
20180118T1800,8.770529
20180118T1900,8.8005295
20180118T2000,8.870529
20180118T2100,8.610529
20180118T2200,8.3005295
20180118T2300,8.090529
20180119T0000,7.4705286
20180119T0100,6.5605288
20180119T0200,5.5205283
20180119T0300,5.1205287
20180119T0400,4.8805285
20180119T0500,4.6005287
20180119T0600,4.2205286
20180119T0700,3.9605286
20180119T0800,3.7505286
20180119T0900,4.3405285
20180119T1000,4.7105284
20180119T1100,4.7305284
20180119T1200,5.7805285
20180119T1300,6.6605287
20180119T1400,6.2405286
20180119T1500,5.4905286
20180119T1600,5.1605287
20180119T1700,4.8705287
20180119T1800,4.0805287
20180119T1900,3.3605285
20180119T2000,2.8805285
20180119T2100,2.9905286
20180119T2200,2.6805286
20180119T2300,2.7105286
20180120T0000,2.9605286
20180120T0100,2.9305286
20180120T0200,2.8405285
20180120T0300,2.5105286
20180120T0400,2.5605285
20180120T0500,2.3005285
20180120T0600,2.3505285
20180120T0700,2.7405286
20180120T0800,3.5505285
20180120T0900,4.2605286
20180120T1000,4.5505285
20180120T1100,5.0005283
20180120T1200,5.9605284
20180120T1300,5.290529
20180120T1400,5.4905286
20180120T1500,5.3205285
20180120T1600,5.2805285
20180120T1700,7.5805287
20180120T1800,7.9305286
20180120T1900,7.7605286
20180120T2000,7.2705283
20180120T2100,6.6805286
20180120T2200,5.8405285
20180120T2300,5.1205287
20180121T0000,4.7105284
20180121T0100,3.9705286
20180121T0200,3.4105287
20180121T0300,3.3905284
20180121T0400,3.3205285
20180121T0500,3.1405284
20180121T0600,3.0905285
20180121T0700,2.8805285
20180121T0800,3.2405286
20180121T0900,3.7105286
20180121T1000,4.4505286
20180121T1100,5.1305285
20180121T1200,5.2505283
20180121T1300,5.3105288
20180121T1400,5.3705287
20180121T1500,5.7405286
20180121T1600,5.4205284
20180121T1700,5.1205287
20180121T1800,5.0805287
20180121T1900,5.0805287
20180121T2000,4.9805284
20180121T2100,4.2405286
20180121T2200,4.0505285
20180121T2300,4.0305285
20180122T0000,4.6705284
20180122T0100,7.0605288
20180122T0200,8.480529
20180122T0300,8.810529
20180122T0400,9.180529
20180122T0500,9.340529
20180122T0600,9.490529
20180122T0700,9.480529
20180122T0800,9.720529
20180122T0900,9.840529
20180122T1000,10.090529
20180122T1100,10.170529
20180122T1200,11.220529
20180122T1300,12.250529
20180122T1400,11.950529
20180122T1500,11.650529
20180122T1600,7.6705284
20180122T1700,8.110529
20180122T1800,7.9405284
20180122T1900,7.5205283
20180122T2000,8.200529
20180122T2100,8.180529
20180122T2200,7.9205284
20180122T2300,7.8505287
20180123T0000,6.3205285
20180123T0100,6.2305284
20180123T0200,7.1105285
20180123T0300,5.7005286
20180123T0400,5.4905286
20180123T0500,5.6005287
20180123T0600,5.8505287
20180123T0700,5.0905285
20180123T0800,5.0705285
20180123T0900,6.9905286
20180123T1000,9.070529
20180123T1100,10.060529
20180123T1200,8.320529
20180123T1300,8.590529
20180123T1400,8.950529
20180123T1500,8.910529
20180123T1600,8.310529
20180123T1700,7.5305285
20180123T1800,7.0705285
20180123T1900,7.3505287
20180123T2000,6.6005287
20180123T2100,6.0705285
20180123T2200,6.3705287
20180123T2300,6.0905285
20180124T0000,6.2705283
20180124T0100,6.9805284
20180124T0200,7.5105286
20180124T0300,7.9305286
20180124T0400,7.8305287
20180124T0500,7.3105288
20180124T0600,6.7005286
20180124T0700,6.5505285
20180124T0800,6.5005283
20180124T0900,7.0905285
20180124T1000,9.250529
20180124T1100,11.3005295
20180124T1200,12.290529
20180124T1300,13.530529
20180124T1400,14.810529
20180124T1500,14.650529
20180124T1600,12.460529
20180124T1700,10.370529
20180124T1800,9.900529
20180124T1900,10.080529
20180124T2000,10.270529
20180124T2100,10.130529
20180124T2200,10.130529
20180124T2300,9.890529
20180125T0000,9.630529
20180125T0100,8.950529
20180125T0200,7.8405285
20180125T0300,7.1805286
20180125T0400,6.9505286
20180125T0500,6.6505284
20180125T0600,6.6805286
20180125T0700,6.6905284
20180125T0800,7.5205283
20180125T0900,8.620529
20180125T1000,9.570529
20180125T1100,10.880529
20180125T1200,10.820529
20180125T1300,11.360529
20180125T1400,12.410529
20180125T1500,13.760529
20180125T1600,13.370529
20180125T1700,10.950529
20180125T1800,10.310529
20180125T1900,10.610529
20180125T2000,9.650529
20180125T2100,8.320529
20180125T2200,7.7605286
20180125T2300,7.3505287
20180126T0000,7.4705286
20180126T0100,6.9005284
20180126T0200,6.5505285
20180126T0300,6.7705283
20180126T0400,6.9505286
20180126T0500,6.9505286
20180126T0600,6.5905285
20180126T0700,6.6805286
20180126T0800,6.3105288
20180126T0900,6.9805284
20180126T1000,7.3805285
20180126T1100,7.5605288
20180126T1200,7.6505284
20180126T1300,7.6905284
20180126T1400,8.110529
20180126T1500,8.310529
